Rank,Title,Artist,Last_Week,Peak_Pos,Weeks_on_Chart
1,Lovin On Me,Jack Harlow,2,1,2
2,Cruel Summer,Taylor Swift,1,1,29
3,Paint The Town Red,Doja Cat,3,1,16
4,All I Want For Christmas Is You,Mariah Carey,17,1,60
5,Snooze,SZA,4,2,50
6,I Remember Everything,Zach Bryan,6,1,13
6,I Remember Everything,Kacey Musgraves,6,1,13
7,Greedy,Tate McRae,8,7,10
8,Rockin' Around The Christmas Tree,Brenda Lee,0,2,53
9,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,5,1,4
10,Water,Tyla,15,10,8
11,You Broke My Heart,Drake,0,11,1
12,Jingle Bell Rock,Bobby Helms,38,3,51
13,Last Christmas,Wham!,32,4,33
14,Last Night,Morgan Wallen,9,1,43
15,Thinkin' Bout Me,Morgan Wallen,10,7,38
16,A Holly Jolly Christmas,Burl Ives,44,4,34
17,First Person Shooter,Drake,25,1,7
17,First Person Shooter,J. Cole,25,1,7
18,Fast Car,Luke Combs,7,2,35
19,Agora Hills,Doja Cat,14,14,9
20,Rich Baby Daddy,Drake,16,11,7
20,Rich Baby Daddy,Sexyy Red,16,11,7
20,Rich Baby Daddy,SZA,16,11,7
21,Need A Favor,Jelly Roll,13,13,34
22,Save Me,Jelly Roll,19,19,23
22,Save Me,Lainey Wilson,19,19,23
23,Vampire,Olivia Rodrigo,21,1,21
24,Lil Boo Thang,Paul Russell,23,23,10
25,Fukumean,Gunna,18,4,23
26,Evil Ways,Drake,0,26,1
26,Evil Ways,J. Cole,0,26,1
27,White Horse,Chris Stapleton,12,12,18
28,It's The Most Wonderful Time Of The Year,Andy Williams,0,5,34
29,IDGAF,Drake,26,2,7
29,IDGAF,Yeat,26,2,7
30,Used To Be Young,Miley Cyrus,22,8,13
31,Dance The Night,Dua Lipa,20,6,26
32,Good Good,Usher,28,25,15
32,Good Good,Summer Walker,28,25,15
32,Good Good,21 Savage,28,25,15
33,Houdini,Dua Lipa,11,11,2
34,Exes,Tate McRae,0,34,1
35,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,0,8,26
36,What Was I Made For?,Billie Eilish,27,14,19
37,Stick Season,Noah Kahan,31,31,8
38,Monaco,Bad Bunny,24,5,6
39,Feliz Navidad,Jose Feliciano,0,6,27
40,Lose Control,Teddy Swims,39,39,15
41,Dial Drunk,Noah Kahan,34,25,23
41,Dial Drunk,Post Malone,34,25,23
42,Underneath The Tree,Kelly Clarkson,0,12,22
43,The Christmas Song (Merry Christmas To You),Nat King Cole,0,9,39
44,My Love Mine All Mine,Mitski,30,26,9
45,What It Is (Block Boy),Doechii,35,29,29
45,What It Is (Block Boy),Kodak Black,35,29,29
46,Sleigh Ride,The Ronettes,0,10,23
47,Flowers,Miley Cyrus,29,1,45
48,Santa Tell Me,Ariana Grande,0,12,19
49,Kill Bill,SZA,36,1,50
50,Virginia Beach,Drake,58,3,7
51,Red Button,Drake,0,51,1
52,The Shoe Fits,Drake,0,52,1
53,Pretty Little Poison,Warren Zeiders,46,46,11
54,I Know ?,Travis Scott,42,11,17
55,World On Fire,Nate Smith,47,47,4
56,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,33,2,4
57,Harley Quinn,Fuerza Regida,40,40,3
57,Harley Quinn,Marshmello,40,40,3
58,Stories About My Brother,Drake,0,58,1
59,On My Mama,Victoria Monet,48,48,10
60,Wild Ones,Jessie Murph,43,42,7
60,Wild Ones,Jelly Roll,43,42,7
61,Can't Have Mine,Dylan Scott,57,57,8
62,500lbs,Lil Tecca,51,51,9
63,Can't Catch Me Now,Olivia Rodrigo,81,56,3
64,Strangers,Kenya Grace,52,52,10
65,Great Gatsby,Rod Wave,55,30,10
66,Truck Bed,HARDY,64,55,23
67,Get Him Back!,Olivia Rodrigo,56,11,11
68,Try That In A Small Town,Jason Aldean,61,1,19
69,Everything I Love,Morgan Wallen,59,14,39
70,The Painter,Cody Johnson,62,55,7
71,Wick Man,Drake,0,71,1
72,Qlona,Karol G,65,28,15
72,Qlona,Peso Pluma,65,28,15
73,Standing Next To You,Jung Kook,50,5,3
74,Slime You Out,Drake,73,1,10
74,Slime You Out,SZA,73,1,10
75,Bad Idea Right?,Olivia Rodrigo,54,7,15
76,Slut! (Taylor's Version) [From The Vault],Taylor Swift,49,3,4
77,Hey Driver,Zach Bryan,68,14,13
77,Hey Driver,The War And Treaty,68,14,13
78,Segun Quien,Maluma,74,68,8
78,Segun Quien,Carin Leon,74,68,8
79,Northern Attitude,Noah Kahan,37,37,2
79,Northern Attitude,Hozier,37,37,2
80,Burn It Down,Parker McCollum,78,77,5
81,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,53,5,4
82,Perro Negro,Bad Bunny,67,20,6
82,Perro Negro,Feid,67,20,6
83,Que Onda,Calle 24,75,61,8
83,Que Onda,Chino Pacas,75,61,8
83,Que Onda,Fuerza Regida,75,61,8
84,Where The Wild Things Are,Luke Combs,0,84,1
85,Rich Men North Of Richmond,Oliver Anthony Music,70,1,15
86,Turks & Caicos,Rod Wave,82,24,10
86,Turks & Caicos,21 Savage,82,24,10
87,Save Me The Trouble,Dan,88,84,4
87,Save Me The Trouble,Shay,88,84,4
88,SkeeYee,Sexyy Red,83,62,12
89,LaLa,Myke Towers,79,43,20
90,"I Swear, I Really Wanted To Make A ""Rap"" Album But...",Andre 3000,0,90,1
91,Style (Taylor's Version),Taylor Swift,69,9,4
92,El Amor de Su Vida,Grupo Frontera,87,68,13
92,El Amor de Su Vida,Grupo Firme,87,68,13
93,Too Much,The Kid LAROI,66,44,5
93,Too Much,Jung Kook,66,44,5
93,Too Much,Central Cee,66,44,5
94,Meltdown,Travis Scott,71,3,17
94,Meltdown,Drake,71,3,17
95,Surround Sound,JID,0,90,2
95,Surround Sound,21 Savage,0,90,2
95,Surround Sound,Baby Tate,0,90,2
96,Different 'Round Here,Riley Green,97,96,2
96,Different 'Round Here,Luke Combs,97,96,2
97,Bongos,Cardi B,72,14,11
97,Bongos,Megan Thee Stallion,72,14,11
98,But I Got A Beer In My Hand,Luke Bryan,98,92,6
99,Calling For You,Drake,0,5,4
99,Calling For You,21 Savage,0,5,4
100,Mi Ex Tenia Razon,Karol G,96,22,14
